,index,post_class,prob
1674,PREDICTING POLITICS,GENETICS AND EVOLUTION,0.14285714285714285
1711,ESSENTIALS PHARM/TOXICOL,GENETICS AND EVOLUTION,0.2
2057,CHINA ANTIQUITY TO 1400,GENETICS AND EVOLUTION,0.1111111111111111
2114,CONTEMP POLISH COMPSTN/READING,GENETICS AND EVOLUTION,0.11764705882352941
2127,PRIMATE CONSERVATION,GENETICS AND EVOLUTION,0.16666666666666666
2177,HISTORY OF EMOTIONS,GENETICS AND EVOLUTION,0.14285714285714285
2196,FIGURE DRAWING,GENETICS AND EVOLUTION,0.125
2278,INTER RUSSIAN CONVERSATION,GENETICS AND EVOLUTION,0.14285714285714285
2332,JAZZ COMBO/IMPROVISATION I,GENETICS AND EVOLUTION,0.1111111111111111
2364,SP TOPICS IN MMS,GENETICS AND EVOLUTION,0.125
2377,EVOL US AIR/SPACE POWER,GENETICS AND EVOLUTION,0.14285714285714285
2399,INTRO TO ITALIAN LIT I,GENETICS AND EVOLUTION,0.14285714285714285
2403,GREEK PHILOSOPHY,GENETICS AND EVOLUTION,0.14285714285714285
2406,CULTURE/POL-LATIN AMER,GENETICS AND EVOLUTION,0.125
2513,RUS LANG/CULTURE-FILM II,GENETICS AND EVOLUTION,0.14285714285714285
2568,CITIES AND CITY LIFE IN ITALY,GENETICS AND EVOLUTION,0.125
2577,ETHICS IN AN UNJUST WORLD,GENETICS AND EVOLUTION,0.125
2579,RENAISSANCE ARCHITECTURE,GENETICS AND EVOLUTION,0.125
4356,CIVIL SOCIETY AND CIVIC ENGAGE,MOLECULAR BIOLOGY,0.10526315789473684
4599,ISLAMIC CIVILIZATION I,MOLECULAR BIOLOGY,0.16666666666666666
4783,FIGURE DRAWING,MOLECULAR BIOLOGY,0.125
4827,RELIGION AND SCIENCE,MOLECULAR BIOLOGY,0.125
4828,ETHICAL DIMENSIONS ENV POLICY,MOLECULAR BIOLOGY,0.125
4865,INTER RUSSIAN CONVERSATION,MOLECULAR BIOLOGY,0.14285714285714285
4875,ISSUES IN ARABIC LANG/LIT II,MOLECULAR BIOLOGY,0.125
4894,CULTURES OF THE AFRI DIASPORA,MOLECULAR BIOLOGY,0.25
4999,DEVELOPMENTAL NEUROBIOLOGY,MOLECULAR BIOLOGY,0.125
5100,RUS LANG/CULTURE-FILM II,MOLECULAR BIOLOGY,0.14285714285714285
5134,TOPICS FRENCH LIT/CULT,MOLECULAR BIOLOGY,0.125
5164,ETHICS IN AN UNJUST WORLD,MOLECULAR BIOLOGY,0.125
5707,HISTORY INT FIN & MON CRISES,"INTRO ELECTRIC, MAGNET, OPTICS",0.125
6969,TRAUMA AND MEMORY,"INTRO ELECTRIC, MAGNET, OPTICS",0.125
7425,"TIME, SPACE AND FILM","INTRO ELECTRIC, MAGNET, OPTICS",0.125
7496,"SCIENCE, ETHICS & DEMOCRACY","INTRO ELECTRIC, MAGNET, OPTICS",0.125
7509,"MYTH, RITUAL, SYMBOL","INTRO ELECTRIC, MAGNET, OPTICS",0.125
7619,ETHICS OF INFECTIOUS DISEASE,"INTRO ELECTRIC, MAGNET, OPTICS",0.125
7673,GRAPHIC ASIA,"INTRO ELECTRIC, MAGNET, OPTICS",0.125
8232,JR-SR TUTORIALS (TOP),RESEARCH INDEPENDENT STUDY,0.11320754716981132
8234,PHYSICAL CHEMISTRY LAB,RESEARCH INDEPENDENT STUDY,0.10441767068273092
8238,ELEMENTS PHYSICAL CHEM,RESEARCH INDEPENDENT STUDY,0.1013215859030837
8272,CHILD OBSERVATION,RESEARCH INDEPENDENT STUDY,0.11627906976744186
8294,HISTORY INT FIN & MON CRISES,RESEARCH INDEPENDENT STUDY,0.125
8402,DRUG ACTIONS & REACTIONS,RESEARCH INDEPENDENT STUDY,0.17045454545454544
8455,INTRO TO RESEARCH IND. STUDY,RESEARCH INDEPENDENT STUDY,0.13131313131313133
8476,BIOPHYSICAL CHEMISTRY,RESEARCH INDEPENDENT STUDY,0.13846153846153847
8529,SEM SPANISH LIT (TOPICS),RESEARCH INDEPENDENT STUDY,0.10204081632653061
8638,SENIOR HONORS SEMINAR,RESEARCH INDEPENDENT STUDY,0.14285714285714285
8660,INORGANIC CHEMISTRY,RESEARCH INDEPENDENT STUDY,0.11538461538461539
8677,CELL SIGNALING AND DISEASES,RESEARCH INDEPENDENT STUDY,0.12
8683,MAKING SOCIAL POLICY,RESEARCH INDEPENDENT STUDY,0.125
8695,HUMAN FUNCTIONAL ANATOMY,RESEARCH INDEPENDENT STUDY,0.10344827586206896
8775,CAP SEM: US/MEX BORDER 18-20C,RESEARCH INDEPENDENT STUDY,0.125
8814,CURRENT RESEARCH IN BIO,RESEARCH INDEPENDENT STUDY,0.14606741573033707
8835,ADVANCED ANATOMY,RESEARCH INDEPENDENT STUDY,0.18604651162790697
8857,MUSEUM INTERNSHIP,RESEARCH INDEPENDENT STUDY,0.10638297872340426
8919,INTERMEDIATE TOPICS,RESEARCH INDEPENDENT STUDY,0.14285714285714285
8932,CAP SEM: RUSSIA-USSR-RUSSIA,RESEARCH INDEPENDENT STUDY,0.1111111111111111
8972,COMPLEX TRAITS AND EVOL GEN,RESEARCH INDEPENDENT STUDY,0.11764705882352941
8982,DEVELOPMENTAL BIOLOGY,RESEARCH INDEPENDENT STUDY,0.25
9017,ADV PHYSICS LAB & SEM,RESEARCH INDEPENDENT STUDY,0.11538461538461539
9031,ASSISTING DEVELOPMENT,RESEARCH INDEPENDENT STUDY,0.2857142857142857
9034,DOCUMENTING THE ENVIRONMENT,RESEARCH INDEPENDENT STUDY,0.13333333333333333
9062,CULTURES OF NEW MEDIA,RESEARCH INDEPENDENT STUDY,0.1111111111111111
9093,HOW PLANTS FEED/FUEL THE WORLD,RESEARCH INDEPENDENT STUDY,0.13043478260869565
9120,ALGEBRAIC STRUCTURES II,RESEARCH INDEPENDENT STUDY,0.11666666666666667
9125,MARINE MAMMALS,RESEARCH INDEPENDENT STUDY,0.10869565217391304
9178,STRUCTURING VENTURE CAPITAL,RESEARCH INDEPENDENT STUDY,0.1111111111111111
9198,ENV SCI/POL OF TROPICS,RESEARCH INDEPENDENT STUDY,0.13513513513513514
9226,RISE MOD SCI:18 TO 20 C,RESEARCH INDEPENDENT STUDY,0.10526315789473684
9240,RESEARCH INDEPENDENT STUDY I,RESEARCH INDEPENDENT STUDY,0.1276595744680851
9288,MACROEVOLUTION,RESEARCH INDEPENDENT STUDY,0.14285714285714285
9291,BIOGEOCHEMISTRY,RESEARCH INDEPENDENT STUDY,0.125
9309,THE AMAZON,RESEARCH INDEPENDENT STUDY,0.125
9339,COMPUTER MODELING,RESEARCH INDEPENDENT STUDY,0.14285714285714285
9378,THE DEVIL IN RUSSIAN LIT,RESEARCH INDEPENDENT STUDY,0.13333333333333333
9380,ADVANCED TOPICS IN MUSIC,RESEARCH INDEPENDENT STUDY,0.18181818181818182
9392,DISCUSSIONS IN ETHICS II,RESEARCH INDEPENDENT STUDY,0.16666666666666666
9402,GLOBAL BRAZIL,RESEARCH INDEPENDENT STUDY,0.15789473684210525
9404,WATER COOP/CONFLICT,RESEARCH INDEPENDENT STUDY,0.2857142857142857
9423,ADVANCED TOPICS IN CPS,RESEARCH INDEPENDENT STUDY,0.16666666666666666
9442,PREFRONTAL CORTEX (B),RESEARCH INDEPENDENT STUDY,0.1111111111111111
9460,AUTOBIOGRAPHICAL MEMORY,RESEARCH INDEPENDENT STUDY,0.14285714285714285
9472,ESSENTIALS PHARM/TOXICOL,RESEARCH INDEPENDENT STUDY,0.4
9473,EAST ASIA'S TWENTIETH CENTURY,RESEARCH INDEPENDENT STUDY,0.1111111111111111
9508,SP TOP NATIONAL CINEMA,RESEARCH INDEPENDENT STUDY,0.10344827586206896
9512,INTRO HIGH DIM DATA ANALYSIS,RESEARCH INDEPENDENT STUDY,0.2
9542,MARINE CONSERV SERVICE LRNING,RESEARCH INDEPENDENT STUDY,0.2
9573,INTRO SATELLITE REMOTE SENSING,RESEARCH INDEPENDENT STUDY,0.1111111111111111
9585,HUMAN RIGHTS AND CONFLICT,RESEARCH INDEPENDENT STUDY,0.16666666666666666
9619,ADV TOP IN POLITICAL THEORY,RESEARCH INDEPENDENT STUDY,0.125
9635,ALGEBRAIC TOPOLOGY I,RESEARCH INDEPENDENT STUDY,0.14285714285714285
9639,ADVANCED VISUAL PRACTICE,RESEARCH INDEPENDENT STUDY,0.14285714285714285
9640,BLACK DANCE,RESEARCH INDEPENDENT STUDY,0.23529411764705882
9642,ANALYSIS OF OCEAN ECOSYSTEMS,RESEARCH INDEPENDENT STUDY,0.16666666666666666
9666,REPRESENTATION THEORY,RESEARCH INDEPENDENT STUDY,0.1111111111111111
9687,COMPOSITION I,RESEARCH INDEPENDENT STUDY,0.10526315789473684
9714,NUTRITION AND HEALTH,RESEARCH INDEPENDENT STUDY,0.125
9715,SCIENCE AND SOCIETY,RESEARCH INDEPENDENT STUDY,0.14285714285714285
9732,RESPONSIBLE GENOMICS,RESEARCH INDEPENDENT STUDY,0.2
9798,COMPUTATIONAL PHYSICS,RESEARCH INDEPENDENT STUDY,0.14285714285714285
9799,PRACTICUM,RESEARCH INDEPENDENT STUDY,0.3333333333333333
9828,RANDOMIZED ALGORITHMS,RESEARCH INDEPENDENT STUDY,0.5
9900,LEARNING TO FAIL,RESEARCH INDEPENDENT STUDY,0.1111111111111111
9913,MICROHISTORY,RESEARCH INDEPENDENT STUDY,0.25
9915,ADVANCED MACHINE LEARNING,RESEARCH INDEPENDENT STUDY,0.2222222222222222
9928,CHINESE MEDIA AND POP CULTURE,RESEARCH INDEPENDENT STUDY,0.16666666666666666
9933,CHILD DEVELOPMENT,RESEARCH INDEPENDENT STUDY,0.1111111111111111
9942,SOCIAL INNOVATION,RESEARCH INDEPENDENT STUDY,0.125
9963,MECHANICS,RESEARCH INDEPENDENT STUDY,0.2
9987,JEWS AND THE END OF THEORY,RESEARCH INDEPENDENT STUDY,0.125
9993,NUMERICAL ANALYSIS,RESEARCH INDEPENDENT STUDY,0.2222222222222222
9997,GEOMETRIC ALGORITHMS,RESEARCH INDEPENDENT STUDY,0.14285714285714285
10000,UNDERGRAD SEM IN HIST (EUR),RESEARCH INDEPENDENT STUDY,0.2
10006,WRITING ACROSS CULTURES,RESEARCH INDEPENDENT STUDY,0.2
10015,LITERARY ISLAM,RESEARCH INDEPENDENT STUDY,0.1111111111111111
10036,THE EARLY ROMAN EMPIRE,RESEARCH INDEPENDENT STUDY,0.2
10043,ACTING FOR NONMAJORS,RESEARCH INDEPENDENT STUDY,0.25
10052,TOPICS IN BLACK URBAN STUDIES,RESEARCH INDEPENDENT STUDY,0.3333333333333333
10061,ZIONISM: JEWISH AND CHRISTIAN,RESEARCH INDEPENDENT STUDY,0.125
10070,RELIGIONS OF ASIA,RESEARCH INDEPENDENT STUDY,0.16666666666666666
10074,MICROECONOMIC ANALYSIS I,RESEARCH INDEPENDENT STUDY,0.125
10075,GEN DESCRIPTIVE CHEM II W/ LAB,RESEARCH INDEPENDENT STUDY,0.25
10090,STORYTELLING WITH IMPACT,RESEARCH INDEPENDENT STUDY,0.2222222222222222
10100,MARINE POLICY,RESEARCH INDEPENDENT STUDY,0.125
10115,WMN'S SPRTLTY CRSS CLTRS,RESEARCH INDEPENDENT STUDY,0.1111111111111111
10128,LANGUAGE AND MIGRATION,RESEARCH INDEPENDENT STUDY,0.125
10147,TOPICS IN ECONOMIC THEORY,RESEARCH INDEPENDENT STUDY,0.125
10151,MARINE ECOLOGY,RESEARCH INDEPENDENT STUDY,0.125
10161,ENERGY & ENVIRO JUSTICE,RESEARCH INDEPENDENT STUDY,0.1111111111111111
10203,"ANAT&PHYS OF SPCH,LANG,&HRNG",RESEARCH INDEPENDENT STUDY,0.1111111111111111
10212,STATISTICAL MECHANICS,RESEARCH INDEPENDENT STUDY,0.125
10225,LEADNG GRP FTNESS ACTVTIES,RESEARCH INDEPENDENT STUDY,0.1111111111111111
10228,SP TOP RUS/AMER CULTURE,RESEARCH INDEPENDENT STUDY,0.14285714285714285
10229,MILTON,RESEARCH INDEPENDENT STUDY,0.1111111111111111
10252,PEOPLE AND PLACES,RESEARCH INDEPENDENT STUDY,0.14285714285714285
10259,ECONOMETRICS I,RESEARCH INDEPENDENT STUDY,0.125
10281,GLOBAL INEQUALITY RESEARCH,RESEARCH INDEPENDENT STUDY,0.14285714285714285
10283,MICROECONOMIC ANALYSIS II,RESEARCH INDEPENDENT STUDY,0.125
10285,INTRO TO QUANTUM MECHANICS,RESEARCH INDEPENDENT STUDY,0.25
10293,ITALIAN CINEMA,RESEARCH INDEPENDENT STUDY,0.1111111111111111
10304,COMPREHENSIVE IMMUNOLOGY,RESEARCH INDEPENDENT STUDY,0.2
10322,EXERCISE AND MENTAL HEALTH,RESEARCH INDEPENDENT STUDY,0.2
12141,HIST PERSPECTIVES ON PUB POL,DATA ANALY/STAT INFER,0.125
12196,EVERYDAY COGNITION,DATA ANALY/STAT INFER,0.14285714285714285
12272,FRENCH PHONETICS,DATA ANALY/STAT INFER,0.10526315789473684
12303,SCHOOL DROPOUT AND ED POLICY,DATA ANALY/STAT INFER,0.14285714285714285
12333,CYBORGS,DATA ANALY/STAT INFER,0.13333333333333333
12352,CINEMA OF CONFLICT,DATA ANALY/STAT INFER,0.1111111111111111
12365,CULTURE & POL CONTEMP EUROPE,DATA ANALY/STAT INFER,0.1111111111111111
12400,CUBISM AND CULTURE,DATA ANALY/STAT INFER,0.14285714285714285
12438,SEN IND STUDY POL INSTITUTIONS,DATA ANALY/STAT INFER,0.25
12476,END OF LIFE IN RUSSIA & U.S.,DATA ANALY/STAT INFER,0.25
12511,FHI HUMANITIES LAB TUTORIAL,DATA ANALY/STAT INFER,0.1111111111111111
12521,NEUROPLASTICITY AND EXPERTISE,DATA ANALY/STAT INFER,0.125
12525,HISTORY OF EMOTIONS,DATA ANALY/STAT INFER,0.14285714285714285
12536,FUTURE OF NEWS,DATA ANALY/STAT INFER,0.125
12582,ITALIAN BAROQUE ART,DATA ANALY/STAT INFER,0.14285714285714285
12588,RELIGION AND SCIENCE,DATA ANALY/STAT INFER,0.125
12589,ETHICAL DIMENSIONS ENV POLICY,DATA ANALY/STAT INFER,0.125
12598,INTERMEDIATE THEORY,DATA ANALY/STAT INFER,0.1111111111111111
12601,ATHEISM AND BUDDHISM,DATA ANALY/STAT INFER,0.125
