,index,class_name
0,1,NEUROSCIENCE AND READING
1,2,FRENCH PHONETICS
2,3,BASIC ANALYSIS II
3,4,IMMIGRATION AND ELECTIONS
4,5,ELEMENTARY ITALIAN 2
5,6,FIN DERIV & FIN ENGINEERING
6,7,INTRODUCTION TO SPC
7,8,ABNORMAL PSYCHOLOGY
8,9,THE CHALLENGES OF DEVELOPMENT
9,10,FILM AND THE AFRICAN DIASPORA
10,11,EGR SUSTAIN DES & GLOBAL COMM
11,12,ANIMATED FILM
12,13,NAVAL SHIP SYSTEMS
13,14,INTRO TO POLITICAL SCIENCE
14,15,"MARX, NIETZSCHE, FREUD"
15,16,ETHICS OF GENOME RESEARCH
16,17,ITALIAN LIT AND CIV (TOP)
17,18,"MUSIC, SOUND, AND STYLE"
18,19,CHRISTIAN THEOLOGICAL DEBATES
19,20,INTL CONFLICT RESOLUTION
20,21,TABOO MARKETS
21,22,THE THEATER TODAY
22,23,ELEMENTARY MODERN HEBREW
23,24,FALL RESEARCH INDEPENDENT STDY
24,25,INTRO NUMER METH/ANALY
25,26,THE ATLANTIC SLAVE TRADE
26,27,DATA ANALY/STAT INFER
27,28,ISLAM
28,29,PUNISHMENT AND SOCIETY
29,30,BASS CONNECTIONS: PROJECTS
30,31,ALCOHOL: BRAIN/INDIV/SOC
31,32,THEORY AND SOCIETY
32,33,CAPSTONE SEMINAR
33,34,"SOC CHNG, MKTS, ECON IN CHINA"
34,35,MENTAL HEALTH
35,36,DANCE COMPOSITION
36,37,INTERMEDIATE KOREAN
37,38,DUKE-ADM ST ABR: SP TOP
38,39,STUDIES-SPECIAL TOPICS
39,40,ENVIRONMENTAL LAW AND POLICY
40,41,METEORITICS/SOLAR SYSTEM HIST
41,42,FIRST YR. CHINESE IN REVIEW II
42,43,EVOLUTIONARY GENOMICS
43,44,INTRO TO COMPUTER SCIENCE
44,45,VISION
45,46,FILM GENRES
46,47,EARLY GREEK ARCHAEOLOGY
47,48,INTRO ARTS OF THE MOVING IMAGE
48,49,STRESS AND COPING
49,50,LEGAL ISS IN EDU
50,51,STATISTICAL DECISION ANALYSIS
51,52,ENERGY IN THE 21ST CENTURY
52,53,ALGORITHMS AND JOURNALISM
53,54,SEM MED/RENAISS ST (TOP)
54,55,STRATEGIC FINANCIAL MANAGEMENT
55,56,POLITICS OF MEMORY
56,57,HIP HOP AND RELIGION
57,58,BRITAIN IN AGE OF AMERICAN REV
58,59,PSYCH OF CONSUMERS
59,60,EUROPE IN TWENTIETH CENT
60,61,ORGANIZATIONS/MANAGEMENT
61,62,"PEOPLE, PLANTS, AND POLLUTION"
62,63,CONTEMP AMERICAN WRITERS
63,64,INTRO TO U S HEALTH CARE SYSTM
64,65,ADAPTIVE LEADERSHIP
65,66,RECONSTRUCTION TO NCLB
66,67,CONNECTIONS IN GLOBAL HEALTH
67,68,WOMEN IN THE PUBLIC SPHERE
68,69,ADV INTERMEDIATE LATIN
69,70,ELEMENTARY GREEK
70,71,ADV INTER SPANISH-SERV LEARN
71,72,INTRO TO ITALIAN LIT II
72,73,CHINESE ECONOMIC GLOBALIZATION
73,74,INTERMEDIATE GERMAN I
74,75,LEADERSHIP AND MANAGEMENT
75,76,FINANCIAL MARKET & INVESTMENTS
76,77,BOOK ART: TYPOGRAPHY AS IMAGE
77,78,INTRO TO AFRICAN STUDIES
78,79,SPECIAL TOPICS IN PHILOSOPHY
79,80,GEOPOLITICS & CULTURE
80,81,BASIC ACTING
81,82,MATRICES AND VECTOR SPACES
82,83,THEORY/PRACTICE COACHING
83,84,THE MIND AND LANGUAGE
84,85,ANALYTICAL CHEMISTRY
85,86,DUKE IN ISTANBUL (TOP)
86,87,INTRO TO CULTURAL ANTHRO
87,88,INT'L TRADE AND POLICY
88,89,SPECIAL TOPICS IN LITERATURE
89,90,SPANISH ENGLISH TRANSLATION
90,91,FRENCH LIT (TOPICS)
91,92,NAT/REG/GLOBAL ECONOMY
92,93,INTRO TO DATA SCIENCE
93,94,U.S. LEGAL HISTORY
94,95,FORECASTING FINANCIAL MARKETS
95,96,THE SCIENTIFIC REVOLUTION
96,97,GLOBAL MIGRATION & ETHICS
97,98,THE ART OF THE INTERVIEW
98,99,POETIC CINEMA
99,100,MEDIA ARABIC II
100,101,ARAB SOCIETY & CULTURE IN FILM
101,102,MATH NUMERICAL ANALYSIS
102,103,CUBISM AND CULTURE
103,104,ART AND MARKETS
104,105,CONGRESS AND PRESIDENT
105,106,ENVIRON HEALTH: ECON AND POLIC
106,107,INTRO TO PHYSIOLOGY
107,108,FIRST-YEAR CHINESE I
108,109,GTWY SEM:MALE/FEM SOLDIERS WAR
109,110,SPECIAL TOPCS
110,111,RELIGION & POLITICS
111,112,HEALTH ECONOMICS
112,113,ANCIENT/MODERN ETHICAL THEORY
113,114,INTERMEDIATE CREOLE I
114,115,GTWY SEM-HISTORY AT SEA
115,116,FINANCIAL MARKETS AND INVEST
116,117,POLITICS OF INTL FINANCE
117,118,BUSINESS AND HUMAN RIGHTS
118,119,UNITED STATES FOREIGN POLICY
119,120,COMPUTER MODELING
120,121,POLITICAL POLARIZATION
121,122,CHILD POLICY RESEARCH
122,123,INTERMEDIATE THEORY
123,124,INTRO EVOLUTIONARY ANTHRO
124,125,HISTORY OF SEXUALITY
125,126,INTRO HUMAN RTS & SOCIAL MVMTS
126,127,PPE CAPSTONE
127,128,TOPICS IN VISUAL STUDIES
128,129,CIVIC PARTICIPATION & PUB POL
129,130,INTRO CONTEM LATIN AMER
130,131,AFRICAN AMERICAN ART
131,132,INTRODUCTION TO TERRORISM
132,133,HONORS SEMINAR II
133,134,JAZZ PIANO
134,135,"HIST OF MOD DANCE, 1880-1950"
135,136,INHABITING THE CHRISTIAN DRAMA
136,137,OUR CULINARY CULTURES
137,138,PHILOSOPHY OF TIME & SPACE
138,139,MARKETS/MGMNT CAPSTONE
139,140,READINGS IN GENRE
140,141,INDIVIDUAL PROJECT
141,142,THE INSURGENT SOUTH
142,143,THE ANTHROPOLOGY OF RACE
143,144,POL ECON OF LATIN AMERICA
144,145,PHILOSOPHY OF EDUCATION
145,146,"HLTH PSYCH/BEHAV CHANGE (A,S)"
146,147,MEDICAL ETHICS - END OF LIFE
147,148,"THE NOVEL, LIVE!"
148,149,INTRO HIGH DIM DATA ANALYSIS
149,150,VICTORIAN POETRY
150,151,SPECIAL TOPICS IN GENRE
151,152,LIGHTING DESIGN
152,153,INTRO LAW & GOVERNANCE
153,154,DOC EXPER: A VIDEO APPR
154,155,COPING WITH CATASTRPHIC EVENTS
155,156,PREHISTORIC LIFE
156,157,ELEMENTARY PORTUGUESE I
157,158,HISTORY MODERN MACROECONOMICS
158,159,CULTURE/POLITICS-CHINA
159,160,METAPHYSICS
160,161,SCIENCE FICTION FILM
161,162,INTERMEDIATE MACROECONOMICS
162,163,PHOTOGRAPHY IN CONTEXT
163,164,SYNTHETIC GENOMICS
164,165,MANAGERIAL FINANCE
165,166,DEVELOPMENT OF CIVILIZATIONS
166,167,INTERMEDIATE-MID CHINESE
167,168,DISCRETE MATH FOR COMPSCI
168,169,EUROPEAN ART 1850-1900
169,170,WOMEN/SEXUALITY XIAN TRAD
170,171,ADV TOP IN PUBLIC POLICY
171,172,ADV FIN AND MGRL ACCOUNTING
172,173,IMMIGRANT DREAMS/US REALITIES
173,174,POLITICS AND LITERATURE
174,175,GLOBAL HEALTH POLICY
175,176,HISTORY OF CHINESE MEDICINE
176,177,COMMUNICATION SKILLS
177,178,MODERN DANCE I
178,179,TOPICS IN HISTORY SEMINAR
179,180,FUNDAMENTALS OF GLOBAL HEALTH
180,181,ECONOMIC GROWTH
181,182,ADVANCED LITERACY IN CHINESE
182,183,INTRO TO EPIDEMIOLOGY
183,184,SCREENING THE HOLOCAUST
184,185,THE HISTORY OF MODERN AMERICA
185,186,INTRO TO HISTORY OF ART
186,187,INTRODUCTION TO CHEMISTRY
187,188,ELEMENTARY ARABIC
188,189,INTERNATIONAL TRADE
189,190,REPERTORY: AFRICAN DANCE
190,191,CHEMISTRY OUTREACH
191,192,DATA STRUCTURES AND ALGORITHMS
192,193,1ST-YR SEM LIT (TOP)
193,194,MARKETS AND MARKETING
194,195,WRITING AMERICAN POLITICS
195,196,RESEARCH INDEPENDENT STUDY
196,197,RESEARCH WITH SPANISH SPEAKERS
197,198,TOPICS: SPANISH LINGUISTICS
198,199,INTRO TO POLICY ANALYSIS
199,200,SENIOR SEMINAR IN SPC
200,201,NUCLEAR WEAPONS
201,202,PRACTICAL FINANCIAL MARKETS
202,203,"LITERACY, WRITING, TUTORING"
203,204,VOICE AND SPEECH
204,205,SOCIAL INNOVATION
205,206,MOTIVATION SCIENCE IN SOC PSY
206,207,ANTHROPOLOGY OF RACE
207,208,SOCCER POLITICS
208,209,ORGANIC CHEMISTRY
209,210,CHILD CLINICAL PSYCH
210,211,POLITICS IN VIOLENCE
211,212,ROMAN HISTORY
212,213,ECON OF THE PUB SEC
213,214,MAFIA AT THE MOVIES
214,215,STATISTICS (BASS CONNECTIONS)
215,216,SEM SPANISH LIT (TOPICS)
216,217,MINERAL RESOURCES
217,218,NAVAL TACTICAL SYSTEMS
218,219,NIETZSCHE'S POLIT PHILOS
219,220,SPECIAL TOPICS IN NEUROSCIENCE
220,221,REFORMATION EUROPE
221,222,WORLD WAR II/FRENCH FILM
222,223,HEALTH AND HEALING IN AFRICA
223,224,INTERNATIONAL WATER RESOURCES
224,225,INTRO. TO THE WRITING OF FICT.
225,226,ANTHROPOLOGY OF MONEY
226,227,RESEARCH IND STUDY IN GH
227,228,CLASS GUITAR
228,229,PILGRIMAGE AND TOURISM
229,230,FNDMNTLS OF DECISION SCIENCE
230,231,LABORATORY CALCULUS I
231,232,HONORS RSRCH INDEPENDENT STUDY
232,233,WRITING THE MOVIE
233,234,"POWER, ORDER AND LAW"
234,235,THE DYNAMIC OCEANS
235,236,DRAWING
236,237,INNOVATION & ENTREPRENEURSHIP
237,238,INTRODUCTION TO HUMAN RIGHTS
238,239,CONTEMP INTERNATIONAL POL
239,240,TOPICS IN MATHEMATICS
240,241,DESIGN/ANALY ALGORITHMS
241,242,GH RESEARCH & ETHICS
242,243,CAPITALISM IN THE U.S.
243,244,GLOBAL HEALTH COMMUNICATION
244,245,MOVING IMAGE PRACTICE
245,246,TELEVISION JOURNALISM
246,247,BIRTH OF THE WEST
247,248,BLACK THEATER WORKSHOP
248,249,DUKE-ADM ST ABR (ADV TOP)
249,250,POL. ECONOMIES OF GLOBAL IMAGE
250,251,ADVANCED CHINESE II
251,252,APPLIED ECONOMETRICS: MICRO
252,253,MEMORY/DOC CINEMA LATIN AMER
253,254,READING HISTORICALLY
254,255,BIO BASES OF BEHAVIOR
255,256,GTWY SEM: LIVING/GREAT WAR
256,257,CLASSICS OF AM LIT: 1915-1960
257,258,LANGUAGE AND POLITICS
258,259,DELIVERING SOFTWARE
259,260,INTERPRETING BODIES
260,261,SPEC TOP IN POLITICAL THEORY
261,262,INTRO TO ASTRONOMY
262,263,REVOLUTION ON SCREEN
263,264,RESEARCH IND STDY CONTEM CHINA
264,265,INTRO TO MUSIC THEORY (BEG)
265,266,MULTIVAR CALCULUS FOR ECON
266,267,CHILDREN'S PEER RELATION
267,268,AMERICAN BUSINESS HISTORY
268,269,CULTURAL/LITERARY PERSP
269,270,FOCUS: TOPICS IN COMPSCI
270,271,OBOE
271,272,COMPSCI ED RESEARCH SEMINAR
272,273,CHEM/TECHNOL/SOCIETY
273,274,INTENSIVE ELEM SPANISH
274,275,FROM VOTING TO PROTESTS
275,276,COMPUTER ARCHITECTURE
276,277,WEALTH AND POVERTY OF NATIONS
277,278,LIFE SPAN ANALYSIS
278,279,ENERGY AND ENVIRONMENT
279,280,BUSINES/CULT FRANCOPHONE WORLD
280,281,HARP
281,282,INTRO BIOCHEMISTRY I
282,283,GERMAN THEATER AND PERFORMANCE
283,284,HISTORY INT FIN & MON CRISES
284,285,MUSIC AND THE BRAIN
285,286,REPERTORY: BALLET
286,287,MODERN KOREAN BUDDHISM
287,288,INTERMEDIATE PORTUGUESE
288,289,GREEK CIVILIZATION
289,290,ADVERTISING/SOCIETY:GLOBAL
290,291,EVERYTHING DATA
291,292,ECON HIST ISLAMIC MIDDLE EAST
292,293,INDIAN CINEMA
293,294,"INTRO TO PHIL, POLITICS & ECON"
294,295,ADV INTERMEDIATE ITALIAN
295,296,RESEARCH SEMINAR (TOP)
296,297,"MONEY, SEX, POWER"
297,298,PUBLISHING & MKTG POP FICTION
298,299,INTRO/FICTION WRITING
299,300,ENTREPRENEUR & BUSINESS PLAN
300,301,GLOBALIZATION AND HISTORY
301,302,STUDY ABROAD: SPECIAL TOPICS
302,303,UNDERSTANDING THE QUR'AN
303,304,MULTIVARIABLE CALCULUS
304,305,AUTHORITARIAN REGIMES
305,306,SHAKESPEARE BEFORE 1600
306,307,MODERN ARCHITECTURE
307,308,PROBABILITY/STAT INFER
308,309,CONFLICT/COLLUS/COOPERAT
309,310,INT. WORKSHOP WTG OF FICT.
310,311,MANAGERIAL EFFECTIVENESS
311,312,BUSINESS BEHAVIORS
312,313,EUROPE IN THEORY
313,314,INTENSIVE ADV CHINESE
314,315,SP TOPICS WOMEN'S STUDIES
315,316,INTERNATL ECONOMY 1850-PRESENT
316,317,ADV TOP  ITALIAN LIT/CULTURE
317,318,INTRO TO OPERATING SYSTM
318,319,POLITICS OF US FOREIGN POLICY
319,320,INTELLECTUAL PROPERTY
320,321,PHILOSOPHY/METHOD OF ECONOMICS
321,322,SEX WORK:POLITICS OF SXL LABOR
322,323,PIGGING OUT: CULTURAL POL/FOOD
323,324,MILTON
324,325,FIRST-YEAR GERMAN I
325,326,MICROECONOMICS
326,327,SPORT FINANCE
327,328,EXISTENTIALIST CINEMA
328,329,DIGITAL WRITING
329,330,GOTHIC CATHEDRALS
330,331,INTRO TO POLITICAL INQUIRY
331,332,SELECTED TOPICS IN ECONOMICS
332,333,THE U.S. BORDER
333,334,SEX/GENDER - NATURE/NURTURE
334,335,NEUROBIOLOGY OF MIND
335,336,EXPERIMENTAL FILMMAKING
336,337,GOVERNANCE AND HEALTHCARE
337,338,ALEXANDER HAMILTON
338,339,SP TOP SINGLE BRIT AUTHOR
339,340,ISSUES IN MEDICAL ETHICS
340,341,MICROECONOMIC ANALYSIS II
341,342,HOW MARKETS WORK
342,343,ENERGY AND ENVIRONMENT DESIGN
343,344,LIT RENAISSANCE/BAROQUE
344,345,INTERMEDIATE JAPANESE
345,346,MELODRAMA EAST AND WEST
346,347,RACE: A WORLD HISTORY
347,348,PERSONALITY
348,349,INEQUALITIES AND LOW-WAGE WORK
349,350,KNOWLEDGE AND CERTAINTY
350,351,TECHNICAL/SOCIAL ANALY INFOR
351,352,U S ENVIRONMENTAL POL
352,353,THE GENERATIVE WAY
353,354,INTERMEDIATE GERMAN II
354,355,MATH IN GENETICS AND GENOMICS
355,356,EARTH MATERIALS
356,357,WEB DESIGN AND COMMUNICATION
357,358,SMALL TOWN USA
358,359,ADV SPANISH TRANSLATION
359,360,SENIOR SEM IN POL ECONOMY
360,361,LEGAL ISSUES - PERFORMING ARTS
361,362,BUSINESS GERMAN
362,363,WOMEN IN THE ECONOMY
363,364,CAPSTONE: GLOBAL STUDIES
364,365,GTWY SEM: CIV RGHTS/ASIAN AMER
365,366,FRENCH COMEDY
366,367,ARAB YOUTHS REVOLUTION
367,368,"MODERN CHINA,1800-PRESENT"
368,369,URBAN ECONOMICS
369,370,INTERMED FRENCH LANG/CUL
370,371,ETHICAL CHALLENGES ENV CONSERV
371,372,COMPUTER MUSIC
372,373,HIP HOP II
373,374,ECON OF WAGES AND EMPLOYMENT
374,375,SAMPLING SOUL
375,376,RES METH PSYCHOLOG SCI
376,377,TRANSPORTATION AND ENERGY
377,378,SPECIAL TOPICS IN FILM
378,379,INTRO CALCULUS II WITH APPLICA
379,380,POL ANALY PUB POL MAKING
380,381,HIGHER EDU & NEWS MEDIA
381,382,3D MODELING AND ANIMATION
382,383,AMERICAN IMMIGRANT EXPERIENCES
383,384,SP TOPICS IN ART HISTORY
384,385,ADVANCED CALCULUS I
385,386,INDIVIDUAL HEALTH BEHAVIOR/EDU
386,387,QUANT PHYSIOLOGY
387,388,INTERMEDIATE CREOLE
388,389,VIDEO FOR SOCIAL CHANGE
389,390,SOCIOLOGY OF RACISM IN AMERICA
390,391,GLOBAL REPRODUCTIVE HEALTH
391,392,EMERGENCE OF ATLANTIC BASIN
392,393,HONORS SEMINAR
393,394,LOGIC
394,395,AFRICAN DANCE PERCUSSION
395,396,RESEARCH INDEPENDENT STUDY 1
396,397,SPECIAL TOPICS
397,398,SYMBOLIC LOGIC
398,399,INTRO RESEARCH IN CHM
399,400,EPICS OF INDIA
400,401,PROPHECY AND PROPHETS
401,402,APPEARANCE AND REALITY
402,403,DOCUMENTARY AND POLICY
403,404,HISTORY OF ART MARKETS
404,405,GLOBAL HEALTH ETHICS
405,406,HUMAN HEALTH EVOL PERSPECTIVE
406,407,PHARMACOGENOMICS
407,408,INTRO STATISTICAL CONSULTING
408,409,LANGUAGES OF THE WORLD
409,410,MULTIMEDIA DOCUMENTARY
410,411,FAIRY TALES: GRIMMS TO DISNEY
411,412,BIOMED ELECTRONIC MEAS I
412,413,LIBERTY AND EQUALITY
413,414,INTRODUCTION TO PHILOSOPHY
414,415,RETHINKING SCHOOL: SOC JUSTICE
415,416,GTWY SEM:REGIME CHGE/US POLICY
416,417,ELEM DIFFERENTIAL EQUAT
417,418,SOCIAL MOVEMENTS/SOCIAL MEDIA
418,419,FIRST YEAR SEMINAR ROMANCE ST
419,420,MUSLIM ETHICS AND ISLAMIC LAW
420,421,BIO BASES OF BEHAVIOR (TEAM)
421,422,THE DOCUMENTARY ESSAY
422,423,THE HISTORICAL JESUS
423,424,COMICS/CULTURE: IMAGES
424,425,ADVANCED KOREAN
425,426,GENDER AND EVERYDAY LIFE
426,427,GLOBAL CITIES
427,428,PRACTICAL METHODS IN CE
428,429,RUSSIAN REVOLU CINEMA
429,430,ANTHROPOLOGY OF LAW
430,431,ENV POLITICS IN THE U.S.
431,432,SHAKESPEARE AFTER 1600
432,433,INTRO TO THE WTG OF CREAT. N-F
433,434,ECONOMICS OF ENTREPRENEURSHIP
434,435,DEATH AND DYING
435,436,GENDERING WAR: MIDDLE EAST
