,index,post_class,prob
36,284,616,0.10572687224669604
77,659,616,0.10559006211180125
97,683,616,0.11
100,1094,616,0.11711711711711711
112,7,616,0.11688311688311688
122,226,616,0.10344827586206896
128,625,616,0.1044776119402985
139,959,616,0.1111111111111111
153,318,616,0.3333333333333333
155,301,616,0.11267605633802817
166,765,616,0.10909090909090909
185,604,616,0.1016949152542373
190,151,616,0.13043478260869565
204,1064,616,0.11764705882352941
214,69,616,0.2
215,654,616,0.13157894736842105
220,468,616,0.10810810810810811
223,465,616,0.14285714285714285
244,743,616,0.14285714285714285
255,1146,616,0.13333333333333333
259,964,616,0.14285714285714285
260,121,616,0.16
262,1012,616,0.1111111111111111
263,392,616,0.12195121951219512
264,794,616,0.13333333333333333
276,300,616,0.13333333333333333
279,850,616,0.1111111111111111
296,321,616,0.14285714285714285
298,104,616,0.10526315789473684
300,552,616,0.11428571428571428
305,74,616,0.14285714285714285
314,38,616,0.14285714285714285
318,1131,616,0.14814814814814814
321,641,616,0.11764705882352941
322,901,616,0.10526315789473684
326,1153,616,0.10526315789473684
328,225,616,0.1111111111111111
331,344,616,0.125
335,885,616,0.11538461538461539
336,529,616,0.12
339,629,616,0.14285714285714285
343,1120,616,0.10714285714285714
346,586,616,0.10526315789473684
350,1079,616,0.10526315789473684
358,704,616,0.11764705882352941
361,679,616,0.13333333333333333
365,494,616,0.125
369,1036,616,0.15
372,14,616,0.12
376,454,616,0.14285714285714285
379,485,616,0.125
398,1054,616,0.125
399,353,616,0.10526315789473684
401,17,616,0.10526315789473684
404,30,616,0.16666666666666666
409,75,616,0.11764705882352941
411,569,616,0.16666666666666666
412,869,616,0.12
413,696,616,0.11764705882352941
421,227,616,0.125
424,250,616,0.14285714285714285
431,175,616,0.10526315789473684
433,907,616,0.125
434,111,616,0.14285714285714285
441,730,616,0.14285714285714285
444,639,616,0.10526315789473684
445,738,616,0.1111111111111111
446,230,616,0.13636363636363635
452,1037,616,0.125
456,228,616,0.16666666666666666
458,509,616,0.125
461,505,616,0.13333333333333333
462,502,616,0.11764705882352941
468,973,616,0.14285714285714285
472,574,616,0.14285714285714285
473,60,616,0.13333333333333333
475,369,616,0.125
480,442,616,0.16666666666666666
494,782,616,0.1111111111111111
498,190,616,0.16666666666666666
506,1071,616,0.1111111111111111
507,759,616,0.125
510,162,616,0.125
