,index,post_class,prob
1,10,5,0.36597938144329895
2,4,5,0.26373626373626374
3,7,5,0.32934131736526945
10,2,5,0.18181818181818182
13,5,4,0.4146341463414634
14,10,4,0.29896907216494845
16,7,4,0.48502994011976047
24,8,4,0.14285714285714285
26,5,1,0.12195121951219512
28,4,1,0.34065934065934067
30,6,1,0.16666666666666666
33,14,1,0.15
39,5,7,0.16585365853658537
53,10,9,0.1134020618556701
57,12,9,0.22727272727272727
60,13,9,0.125
64,1,9,0.14285714285714285
80,4,6,0.15384615384615385
86,13,6,0.125
87,9,6,0.125
88,2,6,0.18181818181818182
90,1,6,0.14285714285714285
95,6,13,0.19047619047619047
96,12,13,0.22727272727272727
97,11,13,0.5
98,14,13,0.3
100,9,13,0.25
101,2,13,0.18181818181818182
102,8,13,0.14285714285714285
103,1,13,0.14285714285714285
108,6,12,0.21428571428571427
111,14,12,0.15
112,13,12,0.125
114,2,12,0.18181818181818182
115,8,12,0.14285714285714285
116,1,12,0.14285714285714285
123,11,8,0.16666666666666666
125,13,8,0.375
128,8,8,0.42857142857142855
129,1,8,0.14285714285714285
134,6,14,0.14285714285714285
136,11,14,0.16666666666666666
138,13,14,0.125
148,12,3,0.18181818181818182
150,14,3,0.15
151,13,3,0.125
152,9,3,0.1875
154,8,3,0.14285714285714285
155,1,3,0.14285714285714285
162,11,2,0.16666666666666666
165,9,2,0.125
168,1,2,0.14285714285714285
