,index,post_class,prob
1,22,6,0.22285714285714286
2,14,6,0.2681992337164751
3,25,6,0.2561576354679803
4,24,6,0.16666666666666666
18,7,6,0.15384615384615385
20,10,21,0.2369439071566731
21,22,21,0.16228571428571428
22,14,21,0.2222222222222222
23,25,21,0.2348111658456486
24,24,21,0.12268518518518519
40,10,14,0.21760154738878143
41,22,14,0.15542857142857142
43,25,14,0.17898193760262726
44,24,14,0.15046296296296297
58,7,14,0.15384615384615385
60,10,16,0.21566731141199227
61,22,16,0.27314285714285713
62,14,16,0.21455938697318008
63,25,16,0.1444991789819376
64,24,16,0.18055555555555555
68,6,16,0.12418300653594772
82,14,23,0.10727969348659004
86,4,23,0.10059171597633136
88,6,23,0.1437908496732026
107,3,8,0.1630901287553648
109,15,8,0.15083798882681565
110,8,8,0.41044776119402987
111,13,8,0.18421052631578946
114,1,8,0.26582278481012656
115,20,8,0.1875
116,11,8,0.4
119,19,8,0.4444444444444444
130,8,20,0.26865671641791045
134,1,20,0.379746835443038
135,20,20,0.4583333333333333
136,11,20,0.55
139,19,20,0.3333333333333333
144,24,24,0.10648148148148148
187,3,19,0.3090128755364807
189,15,19,0.2905027932960894
191,13,19,0.27631578947368424
192,2,19,0.11458333333333333
197,23,19,0.16
207,3,17,0.20600858369098712
209,15,17,0.18994413407821228
211,13,17,0.17763157894736842
214,1,17,0.12658227848101267
217,23,17,0.16
225,5,2,0.2198952879581152
226,4,2,0.22485207100591717
228,6,2,0.13071895424836602
233,16,2,0.3333333333333333
237,23,2,0.12
247,3,9,0.1630901287553648
249,15,9,0.1564245810055866
251,13,9,0.13157894736842105
257,23,9,0.12
267,3,18,0.13304721030042918
269,15,18,0.11173184357541899
271,13,18,0.16447368421052633
285,5,13,0.14136125654450263
286,4,13,0.14792899408284024
292,2,13,0.16666666666666666
297,23,13,0.12
305,5,12,0.19895287958115182
306,4,12,0.20710059171597633
308,6,12,0.1830065359477124
312,2,12,0.1875
313,16,12,0.14035087719298245
326,4,15,0.11242603550295859
332,2,15,0.10416666666666667
395,20,11,0.16666666666666666
399,19,11,0.2222222222222222
