,index,class_name
0,1,INTRO BIOCHEMISTRY I
1,2,SIGNALS AND SYSTEMS
2,3,ORD AND PRTL DIFF EQUATIONS
3,4,MECHANICS OF SOLIDS
4,5,"INTRO ELECTRIC, MAGNET, OPTICS"
5,6,MOLECULAR BIOLOGY
6,7,SPECIAL TOPICS
7,8,PROJECTS IN BIOMED ENG
8,9,FUND OF BIOMAT AND BIOMECH
9,10,QUANT PHYSIOLOGY BIOSTAT APPL
10,11,DESIGN DEVELOPING WORLD
11,12,MODELS CELL AND MOL SYSTEMS
12,13,LINEAR ALGEBRA & DIFF EQUATION
13,14,TRNSPRT PHENOM:BIOLOGCL SYSTMS
14,15,MOD DIAG IMAGING SYSTEMS
15,16,INTRO MEDICAL INSTRUMENTATION
16,17,STRUC/PROP OF SOLIDS
17,18,ORGANIC CHEMISTRY
18,19,CORE CONCEPTS IN CHEMISTRY
