,index,class_name
0,1,INTERMEDIATE MACROECONOMICS
1,2,INTERMEDIATE MICROECONOMICS II
2,3,DATA STRUCTURES AND ALGORITHMS
3,4,MULTIVAR CALCULUS FOR ECON
4,5,SPECIAL TOPICS
5,6,INTRODUCTION TO ECONOMETRICS
6,7,SELECTED TOPICS IN ECONOMICS
7,8,FINANCIAL ACCOUNTING
8,9,INTERMEDIATE SPANISH
9,10,RESEARCH INDEPENDENT STUDY
10,11,FINANCIAL INSTITUTIONS
11,12,ECONOMIC PRINCIPLES
12,13,FINANCIAL MRKT AND INVESTMENTS
13,14,INTERMEDIATE FINANCE
14,15,PROBABILITY/STAT INFER
15,16,HONORS SEMINAR I
16,17,PRISONER'S DILEMMA/DISTR JUSTI
17,18,PRACTICAL FINANCIAL MARKETS
18,19,PROBABILITY
19,20,INTERMEDIATE MICROECONOMICS I
20,21,LABORATORY CALCULUS II
21,22,THE DYNAMIC EARTH
22,23,ACADEMIC WRITING
23,24,INTRO TO COMPUTER SCIENCE
24,25,INTRODUCTORY PSYCHOLOGY
25,26,CORPORATE FINANCE
26,27,ECON OF ENTREPRENEURSHIP
