,index,post_class,prob
0,6,6,0.6119402985074627
1,5,6,0.42735042735042733
2,8,6,0.5319148936170213
3,12,6,0.2641509433962264
4,14,6,0.4
5,1,6,0.55
6,9,6,0.3333333333333333
7,2,6,0.1111111111111111
8,4,6,0.3333333333333333
9,7,6,0.2
11,6,5,0.13432835820895522
12,5,5,0.21367521367521367
13,8,5,0.2765957446808511
17,9,5,0.1111111111111111
19,4,5,0.3333333333333333
23,5,8,0.10256410256410256
25,12,8,0.3018867924528302
26,14,8,0.13333333333333333
28,9,8,0.1111111111111111
32,3,8,0.3333333333333333
36,12,11,0.20754716981132076
37,14,11,0.26666666666666666
38,1,11,0.2
39,9,11,0.2222222222222222
40,2,11,0.2222222222222222
42,7,11,0.4
43,3,11,0.3333333333333333
50,9,14,0.1111111111111111
51,2,14,0.1111111111111111
54,3,14,0.3333333333333333
62,2,10,0.2222222222222222
64,7,10,0.2
105,9,12,0.1111111111111111
106,2,12,0.3333333333333333
108,7,12,0.2
118,4,13,0.3333333333333333
