,index,post_class,prob
8,ADV INTERMEDIATE SPANISH,INTRO TO ECONOMETRICS,0.12857142857142856
11,AIDS/EMERGING DISEASES,INTRO TO ECONOMETRICS,0.11267605633802817
15,SPAN FOR ORAL COMMUNICA,INTRO TO ECONOMETRICS,0.1111111111111111
30,ELEMENTARY ITALIAN 2,INTRO TO ECONOMETRICS,0.13157894736842105
48,INTRO TO POLICY ANALYSIS,INTRO TO ECONOMETRICS,0.10344827586206896
49,INTRODUCTION TO JAZZ,INTRO TO ECONOMETRICS,0.11764705882352941
50,E EUR: MRKTS/MEDIA/MAFIA,INTRO TO ECONOMETRICS,0.11764705882352941
54,ELEMENTARY ITALIAN 1,INTRO TO ECONOMETRICS,0.10714285714285714
60,SPECIAL TOPICS IN LINGUISTICS,INTRO TO ECONOMETRICS,0.125
62,LOGIC,INTRO TO ECONOMETRICS,0.1111111111111111
83,MICROECONOMIC POLICY TOOLS,INTRO TO ECONOMETRICS,0.10526315789473684
85,EMERGENCE MODERN JAPAN,INTRO TO ECONOMETRICS,0.2
90,AMER DREAMS/AMER REALITIES,INTRO TO ECONOMETRICS,0.13333333333333333
92,DATA ANALY/STAT INFER,INTRO TO ECONOMETRICS,0.16666666666666666
93,READINGS IN GENRE,INTRO TO ECONOMETRICS,0.15789473684210525
96,ADVANCED CHINESE,INTRO TO ECONOMETRICS,0.17647058823529413
101,FIRST-YEAR GERMAN II,INTRO TO ECONOMETRICS,0.15
102,INTENSIVE ELEM SPANISH,INTRO TO ECONOMETRICS,0.1111111111111111
108,SPECIAL TOPICS LANG/LIT (TOP),INTRO TO ECONOMETRICS,0.1875
111,MANAGERIAL EFFECTIVENESS,INTRO TO ECONOMETRICS,0.125
112,16TH CENTURY ITALIAN ART,INTRO TO ECONOMETRICS,0.125
113,ACOUSTICS AND MUSIC,INTRO TO ECONOMETRICS,0.125
127,MYTHS AND MYSTERIES OF MEMORY,INTRO TO ECONOMETRICS,0.15384615384615385
129,REP AMERICAN WRITERS,INTRO TO ECONOMETRICS,0.15384615384615385
134,ISLAMIC CIVILIZATION,INTRO TO ECONOMETRICS,0.11764705882352941
135,FLUTE,INTRO TO ECONOMETRICS,0.125
140,FORM MACROECO CONCERNS,INTRO TO ECONOMETRICS,0.16666666666666666
142,PERSONALITY,INTRO TO ECONOMETRICS,0.16666666666666666
145,COMPARATIVE DEMOCRATIC DEVEL,INTRO TO ECONOMETRICS,0.13333333333333333
154,EXISTENTIALISM,INTRO TO ECONOMETRICS,0.15384615384615385
157,ELEMENTARY JAPANESE,INTRO TO ECONOMETRICS,0.125
158,CONTEMP AMERICAN WRITERS,INTRO TO ECONOMETRICS,0.2
159,LITERARY THEORY,INTRO TO ECONOMETRICS,0.16666666666666666
160,CONTEMPORARY DOCUMENTARY FILMS,INTRO TO ECONOMETRICS,0.16666666666666666
162,INTERMEDIATE GERMAN I,INTRO TO ECONOMETRICS,0.15384615384615385
171,PROBLEMS IN ETHICAL THEORY,INTRO TO ECONOMETRICS,0.13333333333333333
172,IN TH/MONEY INC EMP,INTRO TO ECONOMETRICS,0.14285714285714285
174,ACTING REALISM,INTRO TO ECONOMETRICS,0.125
178,PHILOSOPHY OF ECONOMICS,INTRO TO ECONOMETRICS,0.1111111111111111
181,SPECIAL TOPICS WRITING,INTRO TO ECONOMETRICS,0.14285714285714285
187,DRAWING,INTRO TO ECONOMETRICS,0.125
189,SIGNALS AND SYSTEMS,INTRO TO ECONOMETRICS,0.14285714285714285
192,MUSIC IN EAST ASIA,INTRO TO ECONOMETRICS,0.25
194,BIBLICAL HEBREW II,INTRO TO ECONOMETRICS,0.14285714285714285
197,INTRO TO PROBLEM SOLVING,INTRO TO ECONOMETRICS,0.3333333333333333
198,BIBLICAL HEBREW I,INTRO TO ECONOMETRICS,0.14285714285714285
202,SPECIAL TOPICS IN FILM,INTRO TO ECONOMETRICS,0.14285714285714285
206,SP TOP AMERICAN LIT IV,INTRO TO ECONOMETRICS,0.2
209,INTRO TO CLASSICAL CHINESE II,INTRO TO ECONOMETRICS,0.14285714285714285
210,INTL LAW/INTL INSTITU,INTRO TO ECONOMETRICS,0.14285714285714285
214,GENDER AND POPULAR CULTURE,INTRO TO ECONOMETRICS,0.14285714285714285
215,QUANT POLITICAL ANALY I,INTRO TO ECONOMETRICS,0.125
216,MODELS CELL & MOL SYSTEMS,INTRO TO ECONOMETRICS,0.14285714285714285
218,CONTEM CULTURE IN S ASIA,INTRO TO ECONOMETRICS,0.125
219,INTERNATIONAL SECURITY,INTRO TO ECONOMETRICS,0.1111111111111111
224,CHINA AND THE WORLD,INTRO TO ECONOMETRICS,0.16666666666666666
226,PHILOSOPHY OF MIND,INTRO TO ECONOMETRICS,0.14285714285714285
229,LITERACY AND SERVICE LEARNING,INTRO TO ECONOMETRICS,0.25
232,ADAPTIVE LEADERSHIP,INTRO TO ECONOMETRICS,0.1111111111111111
234,AMERICAN MUSICAL THEATER FROM,INTRO TO ECONOMETRICS,0.25
238,AMERICAN LIT: 1915-1960,INTRO TO ECONOMETRICS,0.125
240,CHAUCER,INTRO TO ECONOMETRICS,0.14285714285714285
241,INTRO TO LINGUISTICS,INTRO TO ECONOMETRICS,0.14285714285714285
243,ACADEMIC WRITING,INTRO TO ECONOMETRICS,0.1111111111111111
245,BRITISH/IRISH DRAMA: 1890-1950,INTRO TO ECONOMETRICS,0.1111111111111111
246,INTRO TO ASTRONOMY,INTRO TO ECONOMETRICS,0.25
249,VIKINGS/THEIR LITERATURE,INTRO TO ECONOMETRICS,0.125
250,INTRO TO SPANISH LIT I,INTRO TO ECONOMETRICS,0.16666666666666666
251,ARABIC CULTURE & 9/11,INTRO TO ECONOMETRICS,0.125
253,MULTIVARIABLE CALCULUS,INTRO TO ECONOMETRICS,0.125
254,ELEMENTARY FRENCH 2,INTRO TO ECONOMETRICS,0.125
259,ANTHROPOLOGY OF HINDUISM,INTRO TO ECONOMETRICS,0.14285714285714285
263,FRENCH SHORT STORY,INTRO TO ECONOMETRICS,0.125
265,FIGURE DRAWING,INTRO TO ECONOMETRICS,0.25
269,BUDDHISM,INTRO TO ECONOMETRICS,0.125
277,LIFE IN LATE REPUBLIC,INTRO TO ECONOMETRICS,0.25
279,INTRO TO ISRAELI CULTUR,INTRO TO ECONOMETRICS,0.14285714285714285
