,index,post_class,prob
0,ACADEMIC WRITING,INTERMEDIATE ECONOMICS II,0.08734693877551021
1,ECONOMIC PRINCIPLES,INTERMEDIATE ECONOMICS II,0.10486891385767791
2,INTERMEDIATE CALCULUS,INTERMEDIATE ECONOMICS II,0.08728943338437979
3,INTERMEDIATE ECONOMICS I,INTERMEDIATE ECONOMICS II,0.09195402298850575
4,FIRST-YEAR SEMINAR (TOP),INTERMEDIATE ECONOMICS II,0.08571428571428572
5,GENERAL CHEMISTRY,INTERMEDIATE ECONOMICS II,0.0889423076923077
6,PROBABILITY/STAT INFER,INTERMEDIATE ECONOMICS II,0.09134615384615384
7,INTERMEDIATE ECONOMICS II,INTERMEDIATE ECONOMICS II,0.0
8,ONE VARIABLE CALCULUS,INTERMEDIATE ECONOMICS II,0.08163265306122448
9,INTRO BIOLOGICAL ANTHRO,INTERMEDIATE ECONOMICS II,0.08695652173913043
10,ACADEMIC WRITING,PROBABILITY/STAT INFER,0.06857142857142857
11,ECONOMIC PRINCIPLES,PROBABILITY/STAT INFER,0.06491885143570537
12,INTERMEDIATE CALCULUS,PROBABILITY/STAT INFER,0.07044410413476264
13,INTERMEDIATE ECONOMICS I,PROBABILITY/STAT INFER,0.08045977011494253
14,FIRST-YEAR SEMINAR (TOP),PROBABILITY/STAT INFER,0.07809523809523809
15,GENERAL CHEMISTRY,PROBABILITY/STAT INFER,0.052884615384615384
16,PROBABILITY/STAT INFER,PROBABILITY/STAT INFER,0.0
17,INTERMEDIATE ECONOMICS II,PROBABILITY/STAT INFER,0.07643312101910828
18,ONE VARIABLE CALCULUS,PROBABILITY/STAT INFER,0.08163265306122448
19,INTRO BIOLOGICAL ANTHRO,PROBABILITY/STAT INFER,0.08695652173913043
20,ACADEMIC WRITING,INTERMEDIATE ECONOMICS III,0.06857142857142857
21,ECONOMIC PRINCIPLES,INTERMEDIATE ECONOMICS III,0.0686641697877653
22,INTERMEDIATE CALCULUS,INTERMEDIATE ECONOMICS III,0.0781010719754977
23,INTERMEDIATE ECONOMICS I,INTERMEDIATE ECONOMICS III,0.09523809523809523
24,FIRST-YEAR SEMINAR (TOP),INTERMEDIATE ECONOMICS III,0.07428571428571429
25,GENERAL CHEMISTRY,INTERMEDIATE ECONOMICS III,0.040865384615384616
26,PROBABILITY/STAT INFER,INTERMEDIATE ECONOMICS III,0.0625
27,INTERMEDIATE ECONOMICS II,INTERMEDIATE ECONOMICS III,0.08917197452229299
28,ONE VARIABLE CALCULUS,INTERMEDIATE ECONOMICS III,0.06802721088435375
29,INTRO BIOLOGICAL ANTHRO,INTERMEDIATE ECONOMICS III,0.07246376811594203
30,ACADEMIC WRITING,INTERMEDIATE ECONOMICS I,0.04326530612244898
31,ECONOMIC PRINCIPLES,INTERMEDIATE ECONOMICS I,0.052434456928838954
32,INTERMEDIATE CALCULUS,INTERMEDIATE ECONOMICS I,0.039816232771822356
33,INTERMEDIATE ECONOMICS I,INTERMEDIATE ECONOMICS I,0.0
34,FIRST-YEAR SEMINAR (TOP),INTERMEDIATE ECONOMICS I,0.04
35,GENERAL CHEMISTRY,INTERMEDIATE ECONOMICS I,0.07211538461538461
36,PROBABILITY/STAT INFER,INTERMEDIATE ECONOMICS I,0.038461538461538464
37,INTERMEDIATE ECONOMICS II,INTERMEDIATE ECONOMICS I,0.0
38,ONE VARIABLE CALCULUS,INTERMEDIATE ECONOMICS I,0.05442176870748299
39,INTRO BIOLOGICAL ANTHRO,INTERMEDIATE ECONOMICS I,0.028985507246376812
40,ACADEMIC WRITING,CHEM/TECHNOL/SOCIETY,0.025306122448979593
41,ECONOMIC PRINCIPLES,CHEM/TECHNOL/SOCIETY,0.031210986267166042
42,INTERMEDIATE CALCULUS,CHEM/TECHNOL/SOCIETY,0.026033690658499236
43,INTERMEDIATE ECONOMICS I,CHEM/TECHNOL/SOCIETY,0.027914614121510674
