,index,post_class,prob
162,490,516,0.125
204,699,516,0.10714285714285714
263,193,516,0.10256410256410256
291,1056,516,0.10526315789473684
307,652,516,0.14285714285714285
312,765,516,0.10256410256410256
340,735,516,0.10714285714285714
398,702,516,0.13043478260869565
402,638,516,0.14285714285714285
405,421,516,0.13043478260869565
422,654,516,0.12
423,157,516,0.11538461538461539
426,823,516,0.125
439,716,516,0.11538461538461539
443,834,516,0.16666666666666666
451,799,516,0.1111111111111111
461,947,516,0.10526315789473684
479,898,516,0.15
480,759,516,0.14285714285714285
485,405,516,0.10526315789473684
486,84,516,0.125
508,747,516,0.125
509,649,516,0.125
511,960,516,0.125
519,197,516,0.18181818181818182
521,274,516,0.2
527,424,516,0.125
539,753,516,0.125
541,529,516,0.15384615384615385
544,755,516,0.11764705882352941
561,383,516,0.125
565,459,516,0.11764705882352941
587,244,516,0.125
590,306,516,0.1111111111111111
591,30,516,0.14285714285714285
595,1048,516,0.1111111111111111
616,427,516,0.125
617,800,516,0.10526315789473684
619,346,516,0.125
628,142,516,0.11764705882352941
640,721,516,0.125
643,1032,516,0.13333333333333333
648,386,516,0.125
673,323,516,0.125
702,746,516,0.1111111111111111
712,75,516,0.1111111111111111
718,605,516,0.14285714285714285
719,1058,516,0.1111111111111111
724,148,516,0.14285714285714285
725,589,516,0.125
730,609,516,0.3333333333333333
737,863,516,0.14285714285714285
748,263,516,0.25
753,593,516,0.14285714285714285
754,412,516,0.1111111111111111
756,113,516,0.14285714285714285
757,628,516,0.1111111111111111
758,442,516,0.125
771,122,516,0.125
772,862,516,0.1111111111111111
773,842,516,0.125
778,90,516,0.125
788,96,516,0.125
791,98,516,0.125
799,1065,516,0.125
802,618,516,0.1111111111111111
808,465,516,0.125
812,23,516,0.14285714285714285
813,531,516,0.14285714285714285
816,978,516,0.1111111111111111
821,29,516,0.125
824,401,516,0.1111111111111111
825,476,516,0.14285714285714285
829,426,516,0.125
830,991,516,0.14285714285714285
836,164,516,0.14285714285714285
839,899,516,0.125
846,521,516,0.125
851,10,516,0.125
853,147,516,0.25
859,4,516,0.3333333333333333
863,16,516,0.1111111111111111
876,879,516,0.125
877,1011,516,0.1111111111111111
896,871,516,0.125
902,890,516,0.14285714285714285
906,1041,516,0.125
921,81,516,0.125
924,53,516,0.14285714285714285
933,730,516,0.125
940,777,516,0.125
946,787,516,0.1111111111111111
950,221,516,0.125
953,419,516,0.125
958,674,516,0.125
967,878,516,0.125
973,942,516,0.14285714285714285
974,914,516,0.125
976,996,516,0.125
978,723,516,0.125
985,339,516,0.1111111111111111
993,565,516,0.14285714285714285
998,538,516,0.125
1006,473,516,0.125
1011,403,516,0.14285714285714285
1030,222,516,0.14285714285714285
1039,229,516,0.1111111111111111
1042,43,516,0.14285714285714285
1043,1027,516,0.1111111111111111
1044,428,516,0.1111111111111111
1047,838,516,0.125
1049,819,516,0.14285714285714285
1050,234,516,0.125
1052,756,516,0.125
1054,712,516,0.14285714285714285
1057,663,516,0.125
1063,656,516,0.14285714285714285
1064,555,516,0.1111111111111111
1065,657,516,0.16666666666666666
1066,305,516,0.2
1068,387,516,0.1111111111111111
1070,298,516,0.16666666666666666
1071,150,516,0.125
