,index,class_name
0,1,INTRO BIOCHEMISTRY I
1,2,ORD AND PRTL DIFF EQUATIONS
2,3,SIGNALS AND SYSTEMS
3,4,MECHANICS OF SOLIDS
4,5,"INTRO ELECTRIC, MAGNET, OPTICS"
5,6,MOLECULAR BIOLOGY
6,7,SPECIAL TOPICS
7,8,PROJECTS IN BIOMED ENG
8,9,FUND OF BIOMAT AND BIOMECH
9,10,COMP METH IN ENGINEERING (LEC)
10,11,DESIGN DEVELOPING WORLD
11,12,QUANT PHYSIOLOGY BIOSTAT APPL
12,13,MODELS CELL AND MOL SYSTEMS
13,14,ACADEMIC WRITING
14,15,STRUC/PROP OF SOLIDS
15,16,LINEAR ALGEBRA & DIFF EQUATION
16,17,TRNSPRT PHENOM:BIOLOGCL SYSTMS
17,18,MOD DIAG IMAGING SYSTEMS
18,19,INTRO MEDICAL INSTRUMENTATION
19,20,ADVANCED TOPICS
20,21,INTRODUCTORY MECHANICS
21,22,MULTIVARIABLE CALCULUS
22,23,FUND OF ELEC AND COMP ENGR
23,24,ORGANIC CHEMISTRY
24,25,CORE CONCEPTS IN CHEMISTRY
