,index,post_class,prob
1,404,175,0.1
3,443,175,0.1
4,685,175,0.1
5,359,175,0.1
6,269,175,0.1
7,207,175,0.1
11,821,175,0.1
17,379,175,0.1
20,162,175,0.1
22,650,175,0.1
26,31,175,0.1
27,53,175,0.1
31,834,175,0.1
32,500,175,0.1
35,78,175,0.1
36,3,175,0.1
37,876,175,0.1
39,390,175,0.1
41,129,175,0.1
42,258,175,0.1
43,430,175,0.1
45,563,175,0.1
46,872,175,0.1
48,405,175,0.1
49,79,175,0.1
58,185,175,0.1
61,725,175,0.1
62,94,175,0.1
64,382,175,0.1
67,206,175,0.1
68,656,175,0.1
69,396,175,0.1
70,43,175,0.1
73,386,175,0.1
75,888,175,0.1
83,592,175,0.1
85,46,175,0.1
92,238,175,0.1
95,818,175,0.1
102,308,175,0.1
106,865,175,0.1
113,369,175,0.1
117,886,175,0.1
118,575,175,0.1
120,288,175,0.1
121,143,175,0.1
126,118,175,0.1
140,191,175,0.1
141,402,175,0.1
143,816,175,0.1
145,253,175,0.1
151,167,175,0.1
153,572,175,0.1
166,598,175,0.1
171,150,175,0.1
172,345,175,0.1
187,770,175,0.1
188,232,175,0.1
192,537,175,0.1
196,726,175,0.1
203,627,175,0.1
205,428,175,0.1
216,135,175,0.1
218,503,175,0.1
219,819,175,0.1
221,519,175,0.1
224,738,175,0.1
225,188,175,0.1
233,264,175,0.1
234,541,175,0.1
236,729,175,0.1
237,70,175,0.1
246,125,175,0.1
249,187,175,0.1
251,569,175,0.1
255,683,175,0.1
257,182,175,0.1
264,239,175,0.1
269,715,175,0.1
274,909,175,0.1
277,306,175,0.1
288,365,175,0.1
294,889,175,0.1
298,733,175,0.1
308,121,175,0.1
314,367,175,0.1
316,797,175,0.1
318,584,175,0.1
327,814,175,0.1
328,625,175,0.1
330,371,175,0.1
331,378,175,0.1
333,641,175,0.1
335,414,175,0.1
336,152,175,0.1
337,578,175,0.1
341,631,175,0.1
342,871,175,0.1
347,220,175,0.1
349,653,175,0.1
351,480,175,0.1
352,171,175,0.1
354,484,175,0.1
357,18,175,0.1
359,782,175,0.1
360,375,175,0.1
361,251,175,0.1
364,504,175,0.1
365,321,175,0.1
366,165,175,0.1
368,312,175,0.1
369,586,175,0.1
377,177,175,0.1
378,532,175,0.1
379,615,175,0.1
381,778,175,0.1
386,311,175,0.1
388,775,175,0.1
389,887,175,0.1
390,767,175,0.1
392,838,175,0.1
393,764,175,0.1
394,245,175,0.1
396,340,175,0.1
398,284,175,0.1
401,374,175,0.1
402,544,175,0.1
407,323,175,0.1
409,427,175,0.1
410,701,175,0.1
412,448,175,0.1
414,74,175,0.1
415,39,175,0.1
416,651,175,0.1
417,23,175,0.1
418,811,175,0.1
419,538,175,0.1
421,406,175,0.1
422,830,175,0.1
424,328,175,0.1
428,468,175,0.1
429,832,175,0.1
438,568,175,0.1
440,75,175,0.1
444,472,175,0.1
449,111,175,0.1
455,49,175,0.1
464,518,175,1.0
468,77,175,0.1
