,index,class_name
0,1,INTRO BIOCHEMISTRY I
1,2,ORD AND PRTL DIFF EQUATIONS
2,3,SIGNALS AND SYSTEMS
3,4,MECHANICS OF SOLIDS
4,5,"INTRO ELECTRIC, MAGNET, OPTICS"
5,6,MOLECULAR BIOLOGY
6,7,FUND OF BIOMAT AND BIOMECH
7,8,SPECIAL TOPICS
8,9,PROJECTS IN BIOMED ENG
9,10,COMP METH IN ENGINEERING (LEC)
10,11,QUANT PHYSIOLOGY BIOSTAT APPL
11,12,DESIGN DEVELOPING WORLD
12,13,MODELS CELL AND MOL SYSTEMS
13,14,STRUC/PROP OF SOLIDS
14,15,TRNSPRT PHENOM:BIOLOGCL SYSTMS
15,16,LINEAR ALGEBRA & DIFF EQUATION
16,17,MOD DIAG IMAGING SYSTEMS
17,18,INTRO MEDICAL INSTRUMENTATION
18,19,ADVANCED TOPICS
19,20,INTRODUCTORY MECHANICS
20,21,MULTIVARIABLE CALCULUS
21,22,FUND OF ELEC AND COMP ENGR
22,23,ORGANIC CHEMISTRY
23,24,CORE CONCEPTS IN CHEMISTRY
