,index,post_class,prob
0,1,6,0.395
2,2,6,0.3515981735159817
3,14,6,0.37349397590361444
4,25,6,0.3835616438356164
5,15,6,0.4810126582278481
6,8,6,0.4
7,17,6,0.2857142857142857
8,13,6,0.2857142857142857
9,24,6,0.34782608695652173
10,18,6,0.4745762711864407
11,11,6,0.4
12,7,6,0.625
13,21,6,0.24242424242424243
15,3,6,0.25
16,4,6,0.25
17,22,6,0.10526315789473684
18,10,6,0.42857142857142855
20,5,6,0.14285714285714285
21,23,6,0.3076923076923077
22,19,6,0.11764705882352941
23,20,6,0.2222222222222222
26,1,14,0.165
27,6,14,0.12605042016806722
28,2,14,0.228310502283105
30,25,14,0.136986301369863
31,15,14,0.22784810126582278
32,8,14,0.10909090909090909
33,17,14,0.22448979591836735
36,18,14,0.23728813559322035
45,9,14,0.15
47,23,14,0.23076923076923078
51,26,14,0.5
53,6,1,0.2184873949579832
55,14,1,0.13253012048192772
58,8,1,0.10909090909090909
59,17,1,0.16326530612244897
63,11,1,0.13333333333333333
65,21,1,0.18181818181818182
67,3,1,0.15
69,22,1,0.15789473684210525
72,5,1,0.14285714285714285
73,23,1,0.15384615384615385
93,3,7,0.15
97,9,7,0.15
100,19,7,0.11764705882352941
105,6,2,0.1092436974789916
120,4,2,0.2777777777777778
121,22,2,0.10526315789473684
124,5,2,0.14285714285714285
126,19,2,0.11764705882352941
129,26,2,0.5
131,6,24,0.11764705882352941
133,14,24,0.1144578313253012
136,8,24,0.10909090909090909
138,13,24,0.11428571428571428
144,16,24,0.2
145,3,24,0.2
149,9,24,0.15
176,5,17,0.14285714285714285
178,19,17,0.11764705882352941
179,20,17,0.2222222222222222
211,14,11,0.10240963855421686
216,13,11,0.2
251,22,10,0.10526315789473684
252,10,10,0.42857142857142855
254,5,10,0.2857142857142857
273,21,13,0.12121212121212122
309,20,15,0.1111111111111111
310,12,15,0.5
413,20,22,0.1111111111111111
433,22,3,0.21052631578947367
436,5,3,0.14285714285714285
490,19,4,0.11764705882352941
491,20,4,0.2222222222222222
595,20,20,0.1111111111111111
648,12,19,0.5
